Matrix Size,CPLEX Solution Time (Real Time (sec.)),Gurobi Solution Time (Real Time (sec.))
n=2x2,0.0149681568146,0.00302600860596
n=3x3,0.0185959339142,0.00146508216858
n=4x4,0.0290048122406,0.00250387191772
n=5x5,0.0229561328888,0.00238180160522
n=6x6,0.0351049900055,0.00486183166504
n=7x7,0.0328288078308,0.00362801551819
n=8x8,0.02130818367,0.00619912147522
n=9x9,0.0355429649353,0.00649094581604
n=10x10,0.0274269580841,0.00778985023499
n=11x11,0.0379431247711,0.00963091850281
n=12x12,0.0307469367981,0.0101840496063
n=13x13,0.0456750392914,0.0131311416626
n=14x14,0.0434100627899,0.0155010223389
n=15x15,0.0443570613861,0.0213961601257
n=16x16,0.0544409751892,0.02330493927
n=17x17,0.0496652126312,0.0255460739136
n=18x18,0.0697531700134,0.0289900302887
n=19x19,0.0839328765869,0.0323631763458
n=20x20,0.0750770568848,0.0318551063538
n=21x21,0.0820119380951,0.0417451858521
n=22x22,0.0959188938141,0.0405731201172
n=23x23,0.102370023727,0.0446681976318
n=24x24,0.113106966019,0.0579051971436
n=25x25,0.137166976929,0.0544011592865
n=26x26,0.15202999115,0.0574748516083
n=27x27,0.174369096756,0.0698170661926
n=28x28,0.197655916214,0.0877940654755
n=29x29,0.234852075577,0.090185880661
n=30x30,0.257146120071,0.173512935638
n=31x31,0.288635969162,0.106940031052
n=32x32,0.321311950684,0.113520145416
n=33x33,0.367915868759,0.127748012543
n=34x34,0.399378061295,0.139345884323
n=35x35,0.41624879837,0.143326997757
n=36x36,0.494260072708,0.161108016968
n=37x37,0.5324177742,0.118119955063
n=38x38,0.574831962585,0.195816993713
n=39x39,0.622045993805,0.207401037216
n=40x40,0.692499876022,0.241858005524
n=41x41,0.755155086517,0.249263048172
n=42x42,0.799330949783,0.239355802536
n=43x43,0.867532968521,0.238664865494
n=44x44,0.959630012512,0.278460025787
n=45x45,1.04852199554,0.237613916397
n=46x46,1.14832019806,0.176856994629
n=47x47,1.22751688957,0.309030056
n=48x48,1.32442116737,0.1875
n=49x49,1.42205500603,0.359676837921
n=50x50,1.47729611397,0.205631971359
n=51x51,1.55776906013,0.379285097122
n=52x52,1.61532592773,0.386435985565
n=53x53,1.69206213951,0.401026964188
n=54x54,1.78452897072,0.417356014252
n=55x55,1.85755801201,0.455290794373
n=56x56,1.91370797157,0.256691932678
n=57x57,2.05517482758,0.576253890991
n=58x58,1.87227201462,0.42521905899
